pl_name,hostname,ra,dec,sy_dist,sy_plx,sy_gaiamag
GJ 357 c,GJ 357,144.0074644,-21.6650634,9.4418100,105.8830000,9.8803600
GJ 357 d,GJ 357,144.0074644,-21.6650634,9.4418100,105.8830000,9.8803600
GJ 3634 b,GJ 3634,164.6433493,-31.1443383,20.3779000,49.0440000,10.9233000
GJ 367 b,GJ 367,146.1214640,-45.7790165,9.4126300,106.2110000,9.1515900
GJ 367 c,GJ 367,146.1214640,-45.7790165,9.4126300,106.2110000,9.1515900
GJ 367 d,GJ 367,146.1214640,-45.7790165,9.4126300,106.2110000,9.1515900
GJ 3779 b,GJ 3779,200.7335358,24.4639425,13.7430000,72.7352000,11.6266000
GJ 3929 b,GJ 3929,239.5775678,35.4081141,15.8095000,63.2240000,11.5109000
GJ 3929 c,GJ 3929,239.5775678,35.4081141,15.8095000,63.2240000,11.5109000
GJ 393 b,GJ 393,157.2288672,0.8378485,7.0314900,142.1880000,8.6737300
GJ 3942 b,GJ 3942,242.2645452,52.9441443,16.9287000,59.0421000,9.4076500
GJ 3988 b,GJ 3988,255.8503747,51.4089795,9.9105000,100.8740000,11.9925000
GJ 3998 b,GJ 3998,259.0020507,11.0561751,18.1459000,55.0799000,9.9833700
GJ 3998 c,GJ 3998,259.0020507,11.0561751,18.1459000,55.0799000,9.9833700
GJ 411 b,GJ 411,165.8344710,35.9723170,5.6757730,392.4000000,
GJ 414 A b,GJ 414 A,167.7745044,30.4451688,11.8893000,84.0803000,7.7280800
GJ 414 A c,GJ 414 A,167.7745044,30.4451688,11.8893000,84.0803000,7.7280800
GJ 422 b,GJ 422,168.9810458,-57.5425629,12.6631000,78.9409000,10.4771000
GJ 4276 b,GJ 4276,336.3221454,59.4125030,21.3362000,46.8399000,11.6605000
GJ 433 b,GJ 433,173.8619194,-32.5436302,9.0645600,110.2910000,8.8913800
GJ 433 c,GJ 433,173.8619194,-32.5436302,9.0645600,110.2910000,8.8913800
GJ 433 d,GJ 433,173.8619194,-32.5436302,9.0645600,110.2910000,8.8913800
GJ 436 b,GJ 436,175.5505363,26.7030669,9.7532100,102.5010000,9.5714800
GJ 463 b,GJ 463,185.7440496,64.0324311,18.3554000,54.4509000,10.5462000
GJ 480 b,GJ 480,189.7134226,11.6950708,14.2358000,70.2164000,10.3249000
GJ 486 b,GJ 486,191.9815310,9.7494181,8.0742600,123.8210000,10.0940000
GJ 504 b,GJ 504,199.1923480,9.4249781,17.5299000,57.0186000,5.0415600
GJ 514 b,GJ 514,202.5040424,10.3725387,7.6177800,131.2430000,8.2062100
GJ 536 b,GJ 536,210.2597264,-2.6522901,10.4092000,96.0398000,8.8588100
GJ 581 b,GJ 581,229.8564725,-7.7226935,6.2981000,158.7490000,9.4110000
GJ 581 c,GJ 581,229.8564725,-7.7226935,6.2981000,158.7490000,9.4110000
GJ 581 e,GJ 581,229.8564725,-7.7226935,6.2981000,158.7490000,9.4110000
GJ 625 b,GJ 625,246.3557854,54.3033625,6.4724900,154.4710000,9.1370200
GJ 649 b,GJ 649,254.5363221,25.7419719,10.3796000,96.3141000,8.8187500
GJ 667 C b,GJ 667 C,259.7510609,-34.9977651,7.2439600,138.0170000,9.3803300
GJ 667 C c,GJ 667 C,259.7510609,-34.9977651,7.2439600,138.0170000,9.3803300
GJ 667 C e,GJ 667 C,259.7510609,-34.9977651,7.2439600,138.0170000,9.3803300
GJ 667 C f,GJ 667 C,259.7510609,-34.9977651,7.2439600,138.0170000,9.3803300
GJ 667 C g,GJ 667 C,259.7510609,-34.9977651,7.2439600,138.0170000,9.3803300
GJ 674 b,GJ 674,262.1700476,-46.8989826,4.5489600,219.8010000,8.3306300
GJ 676 A b,GJ 676 A,262.5448903,-51.6377777,16.0272000,62.3650000,8.8651700
GJ 676 A c,GJ 676 A,262.5448903,-51.6377777,16.0272000,62.3650000,8.8651700
GJ 676 A d,GJ 676 A,262.5448903,-51.6377777,16.0272000,62.3650000,8.8651700
