# Completeness = 5063 / 10000
RA	Dec	magnitude
230.659896	63.341045	5.308099
241.581568	67.810416	5.426190
245.452734	69.109345	4.959169
260.814550	71.869985	5.392524
247.087812	67.043982	5.574882
264.287368	72.455861	5.602662
265.492591	72.155673	5.656994
247.867051	72.612588	5.872678
202.112160	59.945941	5.456954
211.096744	64.375924	3.652423
188.682992	70.021759	4.444701
191.893178	66.790276	4.784272
194.977910	66.597203	4.942307
193.868913	65.438340	5.145214
194.108103	65.994349	5.163145
204.295275	71.242218	5.136686
184.707658	75.160579	5.447877
181.315876	76.905323	5.501071
194.697338	75.472528	5.723802
229.274597	71.823944	4.556678
232.852911	77.349396	4.374761
244.374724	75.756435	4.846895
259.905125	80.136403	5.192952
242.706330	75.877620	5.457001
246.427331	78.964326	5.510821
180.075696	80.853013	5.283669
182.749083	81.709818	5.406289
201.733510	78.644005	5.562666
205.661945	78.064644	5.653330
259.228698	89.037689	5.416544
222.591143	82.510946	5.457237
205.597654	82.752225	5.666739
262.702935	86.968091	5.737864
317.117198	6.989371	5.348522
311.951424	6.008150	5.649290
316.361003	5.957601	5.812360
315.016821	7.516331	5.934988
312.496413	5.544585	5.952981
320.723630	6.811188	5.129973
319.716877	11.203451	5.235017
322.103526	8.195531	5.501913
309.683291	13.315127	5.190834
308.487993	13.027380	5.379508
309.454842	11.377637	5.418499
307.359751	9.897781	5.632195
306.433899	10.055829	5.694880
313.902946	13.721485	4.867437
311.661867	16.123222	5.017348
314.607830	10.839133	5.269335
313.910888	12.568700	5.520574
315.757595	14.730048	5.523605
331.264324	14.815853	5.284563
330.272548	13.119567	5.517865
326.131604	14.771437	5.819592
331.869711	19.475693	5.660837
328.405812	19.668478	5.682306
332.963864	16.040478	5.682814
327.892801	19.826743	5.761835
331.959380	21.702624	5.771210
320.269489	23.855438	5.289639
324.439763	19.318671	5.376538
320.995772	24.274217	5.627089
324.755532	20.265446	5.699369
329.956551	23.940774	4.710875
326.518221	22.948868	4.848323
328.075840	21.273269	4.891479
328.265752	25.925131	5.049913
324.688160	25.498786	5.916763
302.027110	16.664412	5.370863
304.871994	13.216683	5.439670
301.360764	15.500535	5.544092
300.875087	16.031216	5.640601
307.290624	16.273627	5.712546
306.506773	13.911489	5.784687
305.610999	16.916600	5.861876
309.630912	21.201196	4.802192
309.633025	24.115926	5.020863
306.418910	21.409609	5.438854
309.645817	23.680473	5.602673
309.770696	15.838130	5.956425
306.596503	17.315535	5.971206
310.492423	17.521685	5.983856
295.024201	18.013801	4.171155
298.365508	24.079776	4.629588
301.289696	19.991429	4.788077
297.767231	22.609978	4.887583
293.645462	19.773423	4.953341
299.005264	16.634763	5.461868
298.125472	22.453981	5.469987
302.949899	26.808946	5.051252
301.722606	23.614426	5.057024
304.196267	24.671026	5.059031
303.560603	28.694732	5.138240
302.639831	26.904224	5.500163
305.514298	24.446072	5.503935
298.629584	24.319381	5.527268
311.218615	25.269805	4.569888
