# Completeness = 8372 / 10000
RA	Dec	magnitude
349.656866	68.111488	4.629410
329.163079	63.625549	3.940110
330.949870	64.628367	4.319749
346.974507	75.387361	4.260484
332.452279	72.341218	4.545990
338.944946	73.643293	4.974876
298.980670	58.845875	4.360721
301.388159	61.995735	5.051078
298.322459	57.523518	5.111099
297.044173	70.268108	3.643090
300.704649	67.873776	4.099271
307.395779	62.994049	4.164901
305.025263	68.880436	4.187609
288.139862	67.661949	2.807917
276.497541	65.563362	4.449502
288.885430	73.355938	4.072930
293.097598	69.653451	4.449041
325.482003	71.311873	4.234787
317.381895	68.490698	4.644160
354.835781	77.633125	2.942957
329.811319	73.179184	4.905107
302.222521	77.711530	4.382442
290.397871	76.559598	4.873097
343.608481	84.346282	4.192744
341.872018	83.154039	4.365458
311.888615	80.552095	5.026581
2.934352	-35.132557	5.120590
6.981968	-33.007386	3.803789
5.380161	-28.981791	4.920058
359.866191	-29.485190	4.928498
3.426205	-26.022692	5.287180
13.169450	-24.005691	5.067062
11.184669	-22.005770	5.126649
16.531931	-23.992645	5.840089
3.659946	-18.933190	3.615524
5.443097	-20.058076	3.903345
11.047458	-10.610054	4.491986
12.357219	-13.561735	5.177490
347.361905	-21.172281	3.327974
346.670498	-23.743142	4.164140
350.742035	-20.101017	3.626960
351.511365	-20.642302	3.815082
343.662368	-15.820937	3.272364
349.779206	-13.459105	4.947812
355.681058	-14.545200	4.473714
0.935067	-17.336031	4.516587
2.815693	-15.469176	4.763619
4.856911	-8.824082	3.226718
3.615397	-7.780482	4.147413
349.740519	-9.610784	4.992630
354.414992	-13.060124	5.376533
0.490291	-6.014250	3.292785
1.333868	-5.707223	4.318301
26.009055	-15.933680	3.300400
27.865310	-10.335213	3.427763
30.112144	-8.523942	3.953492
17.148439	-10.182882	3.132648
14.006081	-11.266559	4.757009
18.600727	-7.921590	5.016975
21.005505	-8.184157	3.318578
25.681255	-3.690348	4.582967
30.918738	-4.103788	4.918643
39.870712	0.328497	4.057374
35.485897	0.395639	4.452819
28.389050	3.187644	4.350665
33.249880	8.846697	4.125624
13.252085	-1.144330	4.116363
19.150753	-2.500652	5.280871
6.350803	1.939636	5.553443
6.123390	-2.219248	5.719684
12.170969	7.584859	3.836344
25.357788	5.487627	3.970141
26.348759	9.157990	4.012520
31.551035	8.248055	5.261510
15.735512	7.890248	3.997180
18.433498	7.575124	5.156254
22.870999	15.345818	3.382859
337.661737	-10.678087	4.808764
334.200207	-12.831406	5.023233
343.153709	-7.579451	2.859529
342.397860	-13.592800	3.350818
334.209020	-7.783386	3.926515
331.609474	-13.869932	4.250913
339.438776	-4.228586	4.718346
348.580823	-6.049875	3.453988
349.212167	-7.726560	3.715461
358.694087	0.109250	4.324624
355.511107	1.779355	4.465787
338.839486	-0.117742	4.025545
344.864781	0.962620	5.180387
349.294785	3.282369	3.449239
351.991499	6.378800	3.984580
322.889803	-5.571211	2.712085
326.632820	-2.212667	4.017610
331.446064	-0.319897	2.727835
323.678259	1.829117	4.861878
321.320603	-3.557060	4.953299
331.420251	5.058981	4.335281
325.564429	5.680115	4.481931
346.751120	9.409438	3.830867
332.655755	11.624296	5.043728
330.288438	8.257161	5.134697
340.489834	14.516301	5.609691
356.597842	3.486702	3.861429
5.149406	8.190315	4.945197
4.190342	10.244824	5.351096
354.989351	5.624352	3.999258
11.637177	15.475288	4.199376
12.244603	16.939752	4.925745
17.863600	21.034604	4.390534
21.673905	19.240169	5.189662
7.012680	17.893217	3.824550
3.651119	20.206708	3.984223
11.834198	24.266822	3.760469
14.301460	23.417449	4.152097
352.289022	12.760676	4.290279
353.367102	22.498706	3.950527
358.122000	19.120130	4.140898
343.648515	16.941800	5.027484
344.367571	20.769104	5.283212
339.718911	19.521834	5.599967
351.345858	23.404262	4.258092
346.778078	25.468130	4.318158
350.159535	23.740344	4.533373
359.439521	25.141262	3.645402
358.097221	21.671076	5.362613
9.832595	30.860503	2.872078
9.637782	29.310628	4.096830
5.189487	32.911110	5.099193
355.998215	29.361273	4.723945
350.206874	30.414601	4.963959
87.740266	-35.766511	2.804179
94.138068	-35.140124	4.122158
89.384194	-35.283236	4.304050
95.078337	-30.063349	3.007651
95.528315	-33.436630	3.611398
97.042461	-32.579955	4.427049
84.912264	-34.074212	2.653203
86.499580	-32.306533	5.106183
84.435715	-28.689502	5.155013
91.439812	-24.195627	4.463807
91.739608	-21.812313	4.484379
90.815339	-26.284162	4.543217
105.756124	-23.833277	3.040700
103.533116	-24.184193	3.278338
97.964010	-23.418395	4.266358
105.939560	-15.633338	4.090562
104.034253	-17.054224	4.354667
103.906202	-20.136319	4.560414
103.387085	-20.224232	4.766333
99.171285	-19.256191	3.673236
99.472556	-18.237520	4.103014
91.923551	-19.165613	4.482226
94.423783	-16.815897	4.756023
103.546874	-12.038692	3.529454
99.819687	-14.145791	4.315678
